TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,January,INDIA,FREIGHT ON BOARD PRICE,195,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,February,INDIA,FREIGHT ON BOARD PRICE,195,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,March,INDIA,FREIGHT ON BOARD PRICE,195,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,200,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,190,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,185,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,175,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,195,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2003,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,August,INDIA,FREIGHT ON BOARD PRICE,225,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,September,INDIA,FREIGHT ON BOARD PRICE,225,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,October,INDIA,FREIGHT ON BOARD PRICE,225,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,November,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,November,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,November,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,November,INDIA,FREIGHT ON BOARD PRICE,216,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,November,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,November,INDIA,FREIGHT ON BOARD PRICE,271,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,November,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,December,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,December,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,December,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,December,INDIA,FREIGHT ON BOARD PRICE,218,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,December,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,December,INDIA,FREIGHT ON BOARD PRICE,271,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,December,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,January,INDIA,FREIGHT ON BOARD PRICE,228,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,January,INDIA,FREIGHT ON BOARD PRICE,282,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,January,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,February,INDIA,FREIGHT ON BOARD PRICE,240,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,February,INDIA,FREIGHT ON BOARD PRICE,292,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,February,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,March,INDIA,FREIGHT ON BOARD PRICE,245,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,March,INDIA,FREIGHT ON BOARD PRICE,295,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,March,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,April,INDIA,FREIGHT ON BOARD PRICE,238,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,April,INDIA,FREIGHT ON BOARD PRICE,290,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,April,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,May,INDIA,FREIGHT ON BOARD PRICE,235,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,May,INDIA,FREIGHT ON BOARD PRICE,285,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,May,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,June,INDIA,FREIGHT ON BOARD PRICE,229,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,June,INDIA,FREIGHT ON BOARD PRICE,286,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,June,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,July,INDIA,FREIGHT ON BOARD PRICE,228,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,July,INDIA,FREIGHT ON BOARD PRICE,286,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,July,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,229.33,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,284.22,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2004,MARKETING,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2005,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2005,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2005,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2005,August,INDIA,FREIGHT ON BOARD PRICE,228,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2005,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2005,August,INDIA,FREIGHT ON BOARD PRICE,280,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2005,August,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2005,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2005,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,15-PERCENT BROKEN,2005,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,25-PERCENT BROKEN,2005,September,INDIA,FREIGHT ON BOARD PRICE,238,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,100-PERCENT BROKEN,2005,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT PARBOILED,2005,September,INDIA,FREIGHT ON BOARD PRICE,264,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,PUSA BASMATI,2005,September,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,5-PERCENT BROKEN,2005,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Milled rice export price quotes, India, 1997/98 to present",27,RICE,10-PERCENT BROKEN,2005,October,INDIA,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
